#{"t_start": 1772898691.778584, "env_id": "None"}
r,l,t
-10.0,6,17.145456
-2.0,20,17.167875
-15.0,7,17.17794
-10.555877,3,17.181979
-10.0,4,17.187417
-4.0,20,17.212
6.0,20,17.236994
4.0,20,17.259207
-14.0,20,17.281804
-16.0,2,17.286022
-8.0,20,17.313235
8.0,20,17.338058
-6.0,20,17.361459
-2.0,20,17.383928
-2.0,20,17.408148
6.0,20,17.433268
6.0,20,17.456279
-11.0,1,17.458473
-6.0,20,17.480913
8.0,20,17.503327
-12.985477,1,17.505344
-7.0,19,17.528799
-9.5348,4,17.535882
-12.0,20,17.558414
-26.37514,17,17.577797
-10.0,2,17.581789
-4.0,20,17.60457
-13.0,1,17.607217
-11.0,1,17.609395
-7.530604,20,17.634133
6.0,20,17.656682
-6.0,20,17.679462
-8.0,20,17.701004
-6.0,20,17.724708
10.0,20,17.750081
-8.0,20,17.772576
-4.0,20,17.796046
-11.0,1,17.798994
0.0,20,17.824124
-6.0,10,17.837537
-6.948089,13,17.853698
-4.0,20,17.8764
-9.0,17,17.897291
0.0,20,17.919143
-15.0,3,17.923176
-15.0,1,17.926501
-4.0,20,17.951977
0.0,20,17.97568
-12.0,4,17.98123
-10.0,20,18.004058
-2.0,20,18.027774
-2.0,20,18.052676
-10.0,20,18.075995
-4.0,20,18.098978
-6.0,20,18.122229
-2.0,20,18.145635
-20.0,4,18.151671
-8.0,20,18.174502
-2.0,20,18.197444
8.0,20,18.220683
-10.0,20,18.244808
6.0,20,18.268393
2.0,20,18.291168
4.0,20,18.314561
-8.0,20,18.336764
-10.0,2,18.339744
-6.0,20,18.365803
-6.0,10,18.378857
0.0,20,18.402064
-14.0,20,18.425212
-13.0,5,18.432411
-11.0,1,18.434423
6.0,20,18.458522
-8.0,20,18.482374
-10.0,2,18.487373
-6.0,20,18.509466
-4.0,20,18.531657
6.0,20,18.554478
10.0,20,18.581154
6.0,20,18.604162
-10.0,20,18.626852
-12.0,20,18.648226
-9.0,5,18.655624
-9.0,5,18.662235
-10.0,20,18.687418
-12.982159,1,18.689594
4.0,20,18.713076
-11.930417,2,18.71689
-4.0,20,18.740633
-18.0,18,18.759923
-11.0,9,18.773825
6.0,20,18.797251
-14.0,8,18.807156
-4.0,20,18.830812
-4.0,20,18.855344
-11.0,3,18.859137
-8.0,20,18.883224
8.0,20,18.906996
-18.0,16,18.92624
-12.794727,1,18.928998
2.0,20,18.951588
-2.0,20,18.974388
8.0,20,19.000692
-2.0,20,19.02438
-13.0,1,19.026612
6.0,20,19.051794
-15.0,1,19.054863
-13.0,3,19.059737
-8.0,20,19.082745
-9.308027,4,19.089187
-4.0,20,19.113516
-15.0,3,19.118352
